"code_video","maxview","channelsubscribercount","channelvideocount","commentcount","likecount","dislikecount","mintimewithmaxview","year","month","day","hour","minutes","seconds"
"1JzY7C_JjT8",11567,784319.547727272727,43922.331818181818,122.7090909090909091,348.0386363636363636,6.9590909090909091,"2017-12-27 01:44:43.000000",2017,12,27,1,44,43
"-NSBT3oHKt4",900,750407.507692307692,113040.865934065934,0E-20,4.9604395604395604,4.9340659340659341,"2017-12-27 01:44:43.000000",2017,12,27,1,44,43
"DGKTEKAjYVk",154,143441.995505617978,28128.737078651685,1.00000000000000000000,1.00000000000000000000,4.0000000000000000,"2017-12-27 01:44:43.000000",2017,12,27,1,44,43
"c-zvNnFjk3Q",505348,2534119.012048192771,139000.870481927711,3395.4397590361445783,3564.9096385542168675,386.2530120481927711,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"LfZF7iPLJ4s",1625,141115.978658536585,27953.155487804878,15.5579268292682927,81.1067073170731707,2.4512195121951220,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"EOHY4bCQVcc",211,141108.322981366460,27952.422360248447,1.00000000000000000000,4.0000000000000000,4.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"nK-29KF0ScA",2926,778878.451219512195,43760.048780487805,66.5792682926829268,104.8323170731707317,6.5030487804878049,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"xyLUgxMdHQ4",2841,778873.455108359133,43759.922600619195,63.5696594427244582,119.2136222910216718,18.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"jUgKVoIv8Ss",32700,2534119.012048192771,139000.870481927711,598.3644578313253012,897.9608433734939759,84.2500000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"oouIkXNycME",104345,2534119.012048192771,139000.870481927711,1101.7349397590361446,601.1656626506024096,203.4819277108433735,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"a_jWpdeP4k4",100742,3519847.051515151515,31335.984848484848,567.3727272727272727,2343.7484848484848485,122.1333333333333333,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"UaFqbRlAlxc",19043,778886.584848484848,43760.263636363636,255.8787878787878788,379.4454545454545455,22.6939393939393939,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"z4eJlmJH9_k",2513,778871.879629629630,43759.959876543210,29.3271604938271605,58.0000000000000000,6.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"tNt8wLK3Ojo",24944,778886.584848484848,43760.263636363636,375.0090909090909091,1108.4303030303030303,35.6060606060606061,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"iIkR4A_uxhc",4602,3028368.787878787879,40636.278787878788,32.2030303030303030,73.6212121212121212,5.8878787878787879,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"fOkbcwSIH2A",765,141119.266055045872,27953.366972477064,5.0000000000000000,6.4770642201834862,1.00000000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"FahTSQSXskw",228766,3519862.081325301205,31336.033132530120,2248.9216867469879518,8723.8433734939759036,556.5602409638554217,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"r9BP8nzc8Ns",1980,141125.870090634441,27953.712990936556,46.5679758308157100,94.0151057401812689,4.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
